Token Utility,Blockchain,Sector,Tasks Required
AI Computing,ARK,AI,Biometric
Banking,Aeternity,Advertising,Bridge Usage
Blockchain Platform,Algorand,Banking,Citizenship
Carbon Credits,Anoncoin,Charity,Content
Charity,Aptos,Cloud,Contributions
Computing,Arbitrum,Computing,Data Science
Currency,Arweave,Currency,Domain
DEX,Auroracoin,Data,Domain Registration
DeFi,Avalanche,DeFi,Gaming
Decentralized Web,BBQCoin,Domain,Indexing
Dental,BNB Chain,Energy,Liquidity
Domain,Banano,Escrow,Metaverse
Elastic Supply,Base,Exchange,Mining
Energy,Beam,Finance,Move-to-Earn
Escrow,BitClout,Gaming,NEO Holders
Exchange,BitConnect,Governance,NFT
"Exchange, Utility",BitShares,Hardware,Node
Gaming,BitcoinDark,Identity,Peercoin Holders
Governance,Bitgem,Industry,Protocol Usage
"Governance, AMM",Bytecoin,Infrastructure,Scientific Computing
"Governance, Bridge",Cardano,Investment,Scientific Funding
"Governance, Cloud",Casper,IoT,Social
"Governance, Data",Celestia,Layer 1,Solana Holders
"Governance, DeFi",Chiliz,Layer 2,Staking
"Governance, Domain",Concordium,Lending,Tasks
"Governance, Fee Reduction",Cosmos,Loyalty,Testnet
"Governance, Fee Sharing",Dash,Meme,Trading
"Governance, Gaming",DeepOnion,Metaverse,Unknown
"Governance, Identity",Devcoin,Mining,
"Governance, Indexing",Digitalcoin,Mobile,
"Governance, Layer 1",Dogecoin,Move-to-Earn,
"Governance, Layer 2",Dogecoin Cash,NFT,
"Governance, Lending",Dusk,Oracle,
"Governance, Liquid Staking",EOS,Payment,
"Governance, Metaverse",Einsteinium,Prediction,
"Governance, NFT",Elastos,Privacy,
"Governance, Options",Electroneum,Real Estate,
"Governance, Oracle",Ethereum,Search,
"Governance, Platform",Fastcoin,Social,
"Governance, Privacy",Feathercoin,Sports,
"Governance, Smart Contract",Filecoin,Stablecoin,
"Governance, Social",Flow,Storage,
"Governance, Sports",Flux,Supply Chain,
"Governance, Stablecoin",Freicoin,Video,
"Governance, Staking",Goldcoin,Wallet,
"Governance, Synthetics",Gridcoin,Web3,
"Governance, Trading",Grin,,
"Governance, Utility",Handshake,,
"Governance, Yield",Helium,,
Hardware,Hive,,
Identity,Horizen,,
Industry,I0Coin,,
Infrastructure,ICON,,
Interoperability,IOST,,
Investment,Infinitecoin,,
Lending,Injective,,
Loyalty,Internet Computer,,
Meme,IoTeX,,
Messaging,Ixcoin,,
Mining,Komodo,,
Mobile Mining,Kusama,,
Operating System,Lisk,,
Payment,Megacoin,,
Platform,Mina,,
Prediction Market,Mincoin,,
Privacy,MonaCoin,,
Real Estate,Monero,,
Reflection,Mooncoin,,
Reserve Currency,Multi-chain,,
Savings,NEO,,
Search Engine,NXT,,
Smart Contract,Namecoin,,
Social,NavCoin,,
Stablecoin,Near,,
Storage,Nebulas,,
Supply Chain,Nervos,,
"Utility, AI",Novacoin,,
"Utility, Advertising",NuBits,,
"Utility, Cloud",Oasis,,
"Utility, Data",Omni,,
"Utility, Exchange",OneCoin,,
"Utility, Infrastructure",Ontology,,
"Utility, IoT",PIVX,,
"Utility, Lending",Particl,,
"Utility, Oracle",Paycoin,,
"Utility, Search",Peercoin,,
"Utility, Storage",Phoenixcoin,,
"Utility, Video",Pocket,,
Wallet,Polkadot,,
,Polygon,,
,Potcoin,,
,Primecoin,,
,Qtum,,
,Quark,,
,Reddcoin,,
,Secret,,
,Sei,,
,Sia,,
,Solana,,
,Starknet,,
,Steem,,
,Stratis,,
,Sui,,
,TRON,,
,Terra,,
,Terracoin,,
,Tezos,,
,Theta,,
,VeChain,,
,Verge,,
,Vertcoin,,
,WAX,,
,Wanchain,,
,Waves,,
,Zcash,,
,Zetacoin,,
,Zilliqa,,
